"Name","Url"
"|IT| DAZN 4 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042809"
"|IT| DAZN 5 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042810"
"|IT| DAZN 6 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042811"
"|IT| DAZN 7 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042812"
"|IT| DAZN 8 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042813"
"|IT| DAZN 9 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042814"
"|IT| DAZN 10 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042815"
"|IT| EUROSPORT 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/2852"
"|IT| EUROSPORT 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/2853"
"|IT| FOX SPORTS HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/2785"
"|IT| SKY SPORT FOOTBALL HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/9644"
"(PT) SPORT TV 1 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/5335"
"(PT) SPORT TV 1 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/5341"
"|PT| SPORT TV 1 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4445"
"|PT| SPORT TV 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4437"
"|PT| SPORT TV 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/4438"
"|PT| SPORT TV 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/1721"
"|PT| EUROSPORT 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/1667"
"|PT| EUROSPORT 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/1666"
